x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
3327548;7432598;8;0.03969521239239954;0.04854864521474403;0.001894720223437456;0.004884655405383173;0.017675435673767066;0;2;750;Лужская;Luzhskaja;0.6730005202881586
3335700;7227268;28;0.12000100978360341;0.37842961522687774;-0.0032529681837129747;0.030111638830192758;0.37842961522686974;0;4;1874;ОРУ Псковская ГРЭС 330/110 кВ;ORU Pskovskaja GRES 330/110 kV;0.20065422907925082
3350182;7635976;21;0.08754088606611983;0.1121287097238912;-0.002420284771710381;0.005330382727376491;0.027143694552723363;0;2;29;Северо-Западная ТЭЦ;Severo-Zapadnaja TETs;0.12585277266048248
3351167;7635289;35;0.05622905252250202;0.10273063988529856;-0.0017458458502212237;0.005405971865221623;0.03969826226798013;0;0;757;Северная;Severnaja;0.5478111079785504
3354309;7556449;47;0.09770584370188662;0.15878109026434972;-0.0010738687988469627;0.015191991804740138;0.13349465160012366;0;0;765;Гатчинская;Gatchinskaja;0.33866871707645135
3355302;7039473;49;0.06745232373070895;0.3956495852274212;0.0029360001834712627;0.018266152745072737;0.3956495852274096;0;4;748;Новосокольники;Novosokol'niki;0.4518610509107372
3356808;7546128;3;0.4952619732453601;0.7065349864116356;0.3166712323541939;0.3166712323541756;0.632865889917876;0;1;765;Гатчинская;Gatchinskaja;10619.233934474629
3357061;7546568;3;0.01950301563278761;0.021280573144437712;0.0015820179017716483;0.0015820179017716953;0.0021686367314069158;0;2;765;Гатчинская;Gatchinskaja;10257.094422968787
3363683;7610741;37;0.06282365001581297;0.09541359925327082;-0.0008788639722630384;0.006495297606226179;0.027718235397918588;0;0;760;Западная;Zapadnaja;0.47944694096420765
3366538;7632956;42;0.020487271368316025;0.033103843509117666;-0.00029874848476680926;0.00155111599292522;0.007406538498934804;0;0;471;Приморская;Primorskaja;0.5477881793535518
3367597;7625807;9;0.03005654220445319;0.03619948892070291;-0.0006310493942884898;0.00256098522451324;0.008141933937275869;0;2;768;Василеостровская;Vasileostrovskaja;0.4994233668578862
3370127;7638321;8;0.02029926038883273;0.022928700405410708;-0.0004931037511794574;0.0009682697412068819;0.001769136338087493;0;2;468;Полупроводники;Poluprovodniki;0.39276070176853345
3370139;7638527;34;0.006478516233245641;0.04826912058042263;0.0006256667045354065;0.0015742529530750286;0.04603807902958357;0;0;854;Полупроводники;Poluprovodniki;0.5748121442557277
3370254;7638529;34;0.03132287431195021;0.04612444704793742;-0.0003490721278419619;0.002251695232201761;0.009756671773667777;0;0;854;Полупроводники;Poluprovodniki;115.493909836567
3370262;7638519;34;0.08110833882591628;0.702288509856142;0.009459645897551265;0.02226236182864968;0.683050951615117;0;4;854;Полупроводники;Poluprovodniki;123.76116034262698
3370897;7644238;48;0.013758737492479266;0.04614850663440087;0.0008285227797120919;0.001248270416655636;0.04348090313448509;0;0;472;Парголово;Pargolovo;0.4516879574838066
