x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
6414080;6274529;28;0.007312333750307496;0.009126294367742326;0.00014769500089563932;0.00036041971984015076;0.006188683728323332;0.03999116703972111;0.001909816227827636
6422068;7349806;57;0.031831687368508665;0.04550220431936554;0.0006228209753649451;0.0017209858582662271;0.02342447834817551;0.2591293085361963;0.012836617210999272
6422912;7349977;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6423014;7349979;19;0.008314767654633966;0.018418688230008987;-0.0006336891951714332;0.0020308700074360203;0.012820563950984597;0.04554875229639255;0.006329201221313825
6428302;7080349;56;6.245346616187694e-05;0.00013024790517952503;1.0100355763282615e-07;7.405894908505289e-06;0.00013024790517952503;0.0005169345054459055;2.951903094529843e-05
6432816;7327357;44;0.0009461812781810172;0.0012778443321700783;-9.854154822171125e-06;2.5873273830712304e-05;0.00031623601584321065;0.006339652935626773;0.00013482335684732605
6432826;7327331;44;1.2295359085693263e-06;3.956361334480678e-06;-4.850468836534535e-08;7.750424103485978e-08;4.714906328758854e-07;9.648675284026813e-06;7.772263990435411e-07
6432834;7327333;44;0.00189174778840775;0.0025545311966479736;-1.9684057300159578e-05;5.172124028304948e-05;0.0006326354545386434;0.0126749869452569;0.00026934548129029054
6432964;7325643;44;1.2295359085693263e-06;3.956361334480678e-06;-4.850468836534535e-08;7.750424103485978e-08;4.714906328758854e-07;9.648675284026813e-06;7.772263990435411e-07
6437047;7326411;44;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6449705;8578332;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6449760;8578345;41;0.0007022488622437645;0.0010214568075745994;1.7706195016136848e-05;3.1357566848933594e-05;0.0009913169162831593;0.005049857252446232;0.0003589200000766077
6449837;8578310;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6449895;8578324;41;0.007185187016287834;0.010023044924325757;0.0002094955181420014;0.00033208280269912335;0.00992599447436732;0.05198069860248983;0.00377827427500132
6450044;9177622;9;1.3320604981758874e-06;1.4369777483995661e-06;-2.295479118694382e-08;2.3702476054518894e-08;3.793942597136644e-08;4.000217279741218e-06;5.988113033788574e-08
6450116;9177566;9;2.3311058718078033e-06;2.5147110596992408e-06;-4.0170884577151706e-08;4.1479333095408085e-08;6.639399544989121e-08;7.0003802395471315e-06;1.0479197809130008e-07
