node_key;epoch;x;y;n_rows;mean_SpectralNorm;max_SpectralNorm;mean_DeltaSpec;max_DeltaSpec
"(4277421.0;5768080.0)";1973-1982;4277421.0;5768080.0;10;0.10286394098695026;0.15034566352150594;0.10118064395254016;0.5368493012203135
"(4277421.0;5768080.0)";1983-1992;4277421.0;5768080.0;10;0.05907010120117073;0.08908636178376485;0.03286699064275856;0.0789621445182184
"(4277421.0;5768080.0)";1993-2002;4277421.0;5768080.0;10;0.05221917983328771;0.054653299630432306;0.006697676602816993;0.02082042158490776
"(4277421.0;5768080.0)";2003-2012;4277421.0;5768080.0;10;0.049281927578486664;0.05341468483065939;0.006740467356814775;0.018458417044936698
"(4277421.0;5768080.0)";2013-2022;4277421.0;5768080.0;8;0.03437777375222231;0.035473629671145895;0.006552623741347798;0.013306446607654012
"(4278208.0;6798944.0)";1963-1972;4278208.0;6798944.0;8;0.08211189891587752;0.08966834848382965;0.017869683242462815;0.030799219263381455
"(4278208.0;6798944.0)";1973-1982;4278208.0;6798944.0;10;0.05986534873095463;0.0807655184702392;0.02521963088088079;0.06405162455549089
"(4278208.0;6798944.0)";1983-1992;4278208.0;6798944.0;10;0.03922727256158026;0.05037606190310914;0.014879591699196662;0.042044116887101725
"(4278208.0;6798944.0)";1993-2002;4278208.0;6798944.0;10;0.036124977846650266;0.03845989511793654;0.005092777972295486;0.01630216057847614
"(4278208.0;6798944.0)";2003-2012;4278208.0;6798944.0;10;0.03773411563633443;0.03954726802611702;0.0034401881856150882;0.010343665380178727
"(4278208.0;6798944.0)";2013-2022;4278208.0;6798944.0;8;0.03998257951084096;0.04078711211349614;0.005528379788027519;0.012586120647826977
"(4278233.0;6798899.0)";1983-1992;4278233.0;6798899.0;7;0.0005918523729526727;0.0006328819874226395;0.00015230957199460394;0.00026099477411491
"(4278233.0;6798899.0)";1993-2002;4278233.0;6798899.0;10;0.0005911812133507068;0.0006293482684751084;8.317151232826729e-05;0.0002663097789402863
