x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation;BC_EvolutionType
3680004;7700208;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3682034;9218127;53;0.0005744028115419;0.0015589564162343;2.6811298046116112e-05;3.888159047148526e-05;0.0010078976464121;0.0055017775464249;0.0004911060083321;4
3683788;8694986;36;0.0054915450166181;0.0070315549928503;0.0001094057653375;0.0003524903296877;0.0039358137385175;0.0344523804666346;0.0016775653631427;4
3685185;5422090;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3686979;8698176;12;0.0057778216157658;0.0062204348981788;2.8182447991214352e-05;0.0001143071126295;0.0007152795495763;0.0200361831340527;0.0002661395464106;0
3687652;7697212;25;0.0079820437165258;0.0112961139307628;0.0003708538232367;0.0004290958438741;0.0086048839134203;0.0438089213396589;0.0036132868229975;0
3698442;9226315;3;0.0007747878032929;0.0007797988490912;-5.401339551921531e-06;5.40133955192107e-06;6.572220812778914e-06;0.0013419939207417;4.444581464921797e-06;0
3699454;7367409;45;0.0611297962705691;0.0882270204840125;0.0003252073849076;0.0045167308925083;0.0384176271874358;0.4212859198847239;0.0143940471101848;3
3700880;6703028;40;0.0134152952989107;0.0168169922839135;8.753370157621828e-05;0.0007596615911501;0.0117658918656081;0.0869068455564499;0.0029748692672684;4
3701493;9077169;32;0.0018292226918111;0.002337472701429;-2.9079951394897047e-06;3.989808507883433e-05;0.0007612942950732;0.0104104571325862;0.0002018536528831;4
3707652;7736689;17;0.0049214414882059;0.0053255705736578;-4.777884845212894e-05;4.606606560413534e-05;0.0001155903649922;0.0203158238814547;0.0002404325160418;0
3707735;7736586;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3712501;7735918;17;0.0072919353373087;0.0078885798694904;-6.986419231369514e-05;6.8053379282965e-05;0.0001688464912916;0.030100370191765;0.0003517041957251;0
3712517;7735936;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3712524;7735942;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3712529;7735905;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3712558;7735963;17;0.0033681118829065;0.0036464769984957;-3.357610796165194e-05;3.169332179690741e-05;8.133483284564246e-05;0.0139045212523634;0.0001688527219777;0
3712580;7735949;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3712828;6916654;41;0.0009328949211411;0.0012801592675544;-9.9314300395335e-06;2.155990490809403e-05;0.0003159091701387;0.0060290176385476;0.0001275513666389;4
3715395;6829853;57;0.0030151891380513;0.0129508733414216;-0.0001325191687353;0.0006737943064706;0.0103735026289698;0.0406491091515631;0.0044606313752159;4
3716353;5619238;59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3722444;8968598;32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3726665;7571658;50;0.0010103206884724;0.0017295557096743;-1.3550717984355596e-05;3.3218404256784995e-05;0.0003159091701387;0.0073109681146916;0.0002196752191881;4
3729406;6346008;34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3730269;7754594;41;9.351717820250862e-06;2.07776467150757e-05;4.993797729269284e-07;7.002193508822492e-07;1.7262570774056916e-05;7.650868151328257e-05;7.437444278335904e-06;4
3732699;7747515;41;0.0047553845869117;0.0096209161643598;0.0002276267151773;0.0003229202896083;0.0086327404404409;0.0379209965430836;0.003529806853949;4
3732743;7747475;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3732804;7747525;41;0.0057272246323045;0.0268046368155748;-0.0003047146002354;0.0011596859619402;0.0219897769178022;0.0504606590560102;0.0054132469198434;4
3732834;7747505;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3740716;5314582;3;1.8991133228266563e-06;1.923845844797584e-06;-2.64044674262332e-08;2.6404467426230767e-08;3.1420303792140646e-08;3.289575261796403e-06;2.168843170723984e-08;0
3741545;5317553;51;3.723751613385601e-08;6.412819482658614e-07;4.123177988195044e-09;1.3177698531000305e-08;6.412819482658614e-07;1.0965250872654676e-06;1.489603845219813e-07;4
3744893;5544370;54;4.941247473393145e-06;6.165988407941794e-05;-3.520551412745413e-07;1.2331877857297995e-06;4.128921390136537e-05;8.69493769047735e-05;1.0751170572003876e-05;4
3746055;5415856;24;1.5825944356888809e-07;1.2825638965317227e-06;3.4648846802425034e-08;5.729434143913177e-08;1.2825638965317227e-06;2.193050174530935e-06;4.1874633493523206e-07;0
3747394;8505411;32;0.0009027892876933;0.0015373686610049;-3.261224291913315e-06;3.2144082194788725e-05;0.0007618002702046;0.0051618548248993;0.0001327395591675;4
3752067;7768291;88;0.0076877059893178;0.0326797385620915;3.756402977985657e-05;0.0016880804362574;0.0326797385620915;0.1001227655897848;0.0074036966596439;4
3759288;6183286;33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3761753;5509860;59;0.0002826916872577;0.0023764644477643;2.001085017748442e-05;4.903386477684049e-05;0.0023582518775171;0.0057652406562418;0.0006952994600761;4
3763389;5510073;48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3769768;5342230;37;6.271797792522442e-05;0.0007785162851947;9.350128174921035e-06;2.192454884283415e-05;0.0007785162851947;0.0013398009060601;0.0002111439442362;4
3781621;7949004;45;0.0223194890483405;0.0267920222642319;0.0001896567111723;0.0007140376325673;0.0054122921425278;0.1510111259977536;0.0029332521316593;4
3782481;7773846;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3782523;7775379;25;0.0025275624098402;0.0027945971122496;-2.242649378966376e-05;2.169629702259622e-05;5.6422908325023686e-05;0.01266423210804;0.0001635214353378;0
3788776;5377645;59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3789953;6542813;48;0.0108310043944336;0.0165374211296382;0.0003024339875231;0.0007865569943229;0.0091165976423643;0.0833469589984905;0.0052357029078174;4
3791185;5476671;43;0.0001124704397277;0.0007926003473139;1.3228840947617533e-05;1.957434334626424e-05;0.000786071312697;0.0019165988710624;0.0002697724467725;4
3794772;7288162;56;0.0616606307837232;0.0892530422242043;0.000205700625401;0.0045796905531275;0.0384297829172523;0.4721598553276985;0.0133771254778854;3
3795596;6571736;57;0.0016022356565944;0.0056461274024688;2.8910822045995227e-06;0.0002899119356703;0.0031919127709643;0.0145967632890423;0.0010820499539199;4
3800488;7785091;34;1.4583321160502774e-06;1.934646668224057e-06;4.4517746243643874e-09;5.92585930601047e-08;9.480111397746684e-07;8.671090835847665e-06;2.909876295933555e-07;4
3800578;7784881;34;0.0027825445616151;0.0032253532630891;-1.831231443157328e-05;2.9147579387557453e-05;0.0001215472578966;0.0162619586143411;0.0001882156072664;4
3800652;7784888;34;0.0009078701207202;0.0010598709466633;-7.096488570099679e-06;9.324518705755834e-06;3.933422753523808e-05;0.0053098383908896;7.084083860373946e-05;4
3800669;5417511;51;0.0001060929601877;0.0007926003473139;8.833299398365478e-06;1.722568924179505e-05;0.000786071312697;0.0019220914070896;0.0002473543877832;4
3800676;7784846;34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3800830;7554921;60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3803375;7022105;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3805230;8306325;56;0.0105658727178232;0.0146247668428564;0.0001899528204093;0.0005496900793536;0.0049779491353271;0.0852839347772916;0.0042712498565988;4
3805719;7787144;70;0.004642068376461;0.0239271721328078;-9.690080541451164e-05;0.0010192631440943;0.022601733172185;0.0692799305325227;0.0068570014872906;4
3808136;5365676;51;0.0002484424995328;0.0023355488555842;2.3458980069998107e-05;4.894395185154836e-05;0.001572161595107;0.0048658844680465;0.0006344508850425;4
3809745;5367809;3;0.0030928208354291;0.0031127825768824;-2.1517343316265388e-05;2.1517343316263416e-05;2.618414890514153e-05;0.0053570106096314;1.770603955073097e-05;0
3813328;8274578;16;0.0008102723738622;0.0009296411534623;1.0678419404820925e-05;6.607998051815487e-05;0.0008750498313501;0.0033371272434079;0.0001987078762257;0
